repetition,threads,precision,output
9,12,10000,0.000261,
9,12,100000,0.000521,
9,12,100000,0.000476,
9,12,10000000,0.018832,
10,12,1000,0.000395,
10,12,10000,0.000441,
10,12,100000,0.000362,
10,12,100000,0.000404,
10,12,10000000,0.021885,
1,14,1000,0.000524,
1,14,10000,0.000445,
1,14,100000,0.000542,
1,14,100000,0.000397,
1,14,10000000,0.023439,
2,14,1000,0.000487,
2,14,10000,0.000410,
2,14,100000,0.000374,
2,14,100000,0.000513,
2,14,10000000,0.016439,
3,14,1000,0.000590,
3,14,10000,0.000439,
3,14,100000,0.000560,
3,14,100000,0.000531,
3,14,10000000,0.021725,
4,14,1000,0.000505,
4,14,10000,0.000461,
4,14,100000,0.000499,
4,14,100000,0.000504,
4,14,10000000,0.018775,
5,14,1000,0.000281,
5,14,10000,0.000447,
5,14,100000,0.000367,
5,14,100000,0.000453,
5,14,10000000,0.015014,
6,14,1000,0.000591,
6,14,10000,0.000300,
6,14,100000,0.000468,
6,14,100000,0.000550,
6,14,10000000,0.017986,
7,14,1000,0.000466,
7,14,10000,0.000431,
7,14,100000,0.000511,
7,14,100000,0.000497,
7,14,10000000,0.019697,
8,14,1000,0.000291,
8,14,10000,0.000485,
8,14,100000,0.000520,
8,14,100000,0.000449,
8,14,10000000,0.018527,
9,14,1000,0.000326,
9,14,10000,0.000457,
9,14,100000,0.000340,
9,14,100000,0.000370,
9,14,10000000,0.016036,
10,14,1000,0.000287,
10,14,10000,0.000467,
10,14,100000,0.000543,
10,14,100000,0.000499,
10,14,10000000,0.018286,
