repetition,threads,precision,output
7,14,10000000000,2.079117,
8,14,10000,0.000385,
8,14,1000000,0.001781,
8,14,100000000,0.143660,
8,14,10000000000,2.046115,
9,14,10000,0.000394,
9,14,1000000,0.001848,
9,14,100000000,0.167159,
9,14,10000000000,2.064142,
10,14,10000,0.000404,
10,14,1000000,0.001785,
10,14,100000000,0.153351,
10,14,10000000000,2.030562,
