repetition,process,precision,output
9,12,10000,0.000742,
9,12,100000,0.000850,
9,12,100000,0.000854,
9,12,10000000,0.014525,
10,12,1000,0.000767,
10,12,10000,0.000807,
10,12,100000,0.000718,
10,12,100000,0.000779,
10,12,10000000,0.015415,
1,14,1000,0.000899,
1,14,10000,0.000874,
1,14,100000,0.000976,
1,14,100000,0.001085,
1,14,10000000,0.018666,
2,14,1000,0.000956,
2,14,10000,0.000832,
2,14,100000,0.000798,
2,14,100000,0.001045,
2,14,10000000,0.020555,
3,14,1000,0.000818,
3,14,10000,0.000804,
3,14,100000,0.000959,
3,14,100000,0.000860,
3,14,10000000,0.019578,
4,14,1000,0.000778,
4,14,10000,0.000776,
4,14,100000,0.000852,
4,14,100000,0.000912,
4,14,10000000,0.018448,
5,14,1000,0.000582,
5,14,10000,0.000766,
5,14,100000,0.000730,
5,14,100000,0.000975,
5,14,10000000,0.021274,
6,14,1000,0.000574,
6,14,10000,0.000559,
6,14,100000,0.000901,
6,14,100000,0.000879,
6,14,10000000,0.017518,
7,14,1000,0.000667,
7,14,10000,0.000832,
7,14,100000,0.000943,
7,14,100000,0.000889,
7,14,10000000,0.020476,
8,14,1000,0.000692,
8,14,10000,0.000575,
8,14,100000,0.001005,
8,14,100000,0.000874,
8,14,10000000,0.019772,
9,14,1000,0.000598,
9,14,10000,0.000852,
9,14,100000,0.000762,
9,14,100000,0.000865,
9,14,10000000,0.018738,
10,14,1000,0.000661,
10,14,10000,0.000608,
10,14,100000,0.000873,
10,14,100000,0.000849,
10,14,10000000,0.020171,
