1, 2, 3, 4 
0.000180,0.000308,0.001516,0.171332 
0.000180,0.000301,0.001464,0.173394 
0.000179,0.000298,0.001576,0.173724 
0.000126,0.000270,0.001561,0.170997 
0.000139,0.000319,0.001459,0.178442 
0.000163,0.000212,0.001480,0.172313 
0.000172,0.000463,0.001680,0.168205 
0.000119,0.000203,0.001894,0.216186 
0.000130,0.000254,0.001520,0.172236 
0.000246,0.000280,0.001562,0.167305 
