repetition,process,precision,output
9,12,10000,0.000850,
9,12,100000,0.001123,
9,12,100000,0.001101,
9,12,10000000,0.053940,
10,12,1000,0.000858,
10,12,10000,0.000853,
10,12,100000,0.001207,
10,12,100000,0.001250,
10,12,10000000,0.056251,
1,14,1000,0.001095,
1,14,10000,0.001028,
1,14,100000,0.001428,
1,14,100000,0.001427,
1,14,10000000,0.068203,
2,14,1000,0.000976,
2,14,10000,0.000936,
2,14,100000,0.001307,
2,14,100000,0.001296,
2,14,10000000,0.066135,
3,14,1000,0.000915,
3,14,10000,0.000940,
3,14,100000,0.001302,
3,14,100000,0.001280,
3,14,10000000,0.065664,
4,14,1000,0.000716,
4,14,10000,0.000734,
4,14,100000,0.001270,
4,14,100000,0.001241,
4,14,10000000,0.066174,
5,14,1000,0.001059,
5,14,10000,0.001055,
5,14,100000,0.001314,
5,14,100000,0.001413,
5,14,10000000,0.069374,
6,14,1000,0.000780,
6,14,10000,0.001050,
6,14,100000,0.001263,
6,14,100000,0.001402,
6,14,10000000,0.068366,
7,14,1000,0.000977,
7,14,10000,0.000975,
7,14,100000,0.001465,
7,14,100000,0.001315,
7,14,10000000,0.072556,
8,14,1000,0.000803,
8,14,10000,0.000848,
8,14,100000,0.001386,
8,14,100000,0.001470,
8,14,10000000,0.081057,
9,14,1000,0.001100,
9,14,10000,0.000957,
9,14,100000,0.001476,
9,14,100000,0.001524,
9,14,10000000,0.071316,
10,14,1000,0.001091,
10,14,10000,0.000818,
10,14,100000,0.001317,
10,14,100000,0.001332,
10,14,10000000,0.071828,
