repetition,process,precision,output
9,12,10000,0.000841,
9,12,100000,0.001088,
9,12,100000,0.001041,
9,12,10000000,0.038679,
10,12,1000,0.000624,
10,12,10000,0.000633,
10,12,100000,0.001102,
10,12,100000,0.000891,
10,12,10000000,0.037760,
1,14,1000,0.000964,
1,14,10000,0.000896,
1,14,100000,0.001205,
1,14,100000,0.001183,
1,14,10000000,0.045313,
2,14,1000,0.000846,
2,14,10000,0.000733,
2,14,100000,0.001015,
2,14,100000,0.000992,
2,14,10000000,0.042921,
3,14,1000,0.000840,
3,14,10000,0.000832,
3,14,100000,0.001039,
3,14,100000,0.000911,
3,14,10000000,0.041905,
4,14,1000,0.000669,
4,14,10000,0.000643,
4,14,100000,0.000985,
4,14,100000,0.000992,
4,14,10000000,0.040758,
5,14,1000,0.000870,
5,14,10000,0.000903,
5,14,100000,0.000833,
5,14,100000,0.001110,
5,14,10000000,0.040174,
6,14,1000,0.000669,
6,14,10000,0.000634,
6,14,100000,0.001007,
6,14,100000,0.000983,
6,14,10000000,0.041626,
7,14,1000,0.000768,
7,14,10000,0.000920,
7,14,100000,0.000863,
7,14,100000,0.000875,
7,14,10000000,0.040135,
8,14,1000,0.000642,
8,14,10000,0.000644,
8,14,100000,0.001002,
8,14,100000,0.000962,
8,14,10000000,0.047710,
9,14,1000,0.001040,
9,14,10000,0.000703,
9,14,100000,0.001042,
9,14,100000,0.001027,
9,14,10000000,0.055179,
10,14,1000,0.000877,
10,14,10000,0.000979,
10,14,100000,0.001001,
10,14,100000,0.001092,
10,14,10000000,0.048988,
