repetition,threads,precision,output
7,14,10000000000,5.037782,
8,14,10000,0.000425,
8,14,1000000,0.004576,
8,14,100000000,0.384518,
8,14,10000000000,5.203230,
9,14,10000,0.000277,
9,14,1000000,0.003578,
9,14,100000000,0.363546,
9,14,10000000000,5.022304,
10,14,10000,0.000423,
10,14,1000000,0.004202,
10,14,100000000,0.376150,
10,14,10000000000,5.140391,
