repetition,threads,precision,output
9,12,10000,0.000561,
9,12,100000,0.000991,
9,12,100000,0.000944,
9,12,10000000,0.060814,
10,12,1000,0.000492,
10,12,10000,0.000357,
10,12,100000,0.001273,
10,12,100000,0.001277,
10,12,10000000,0.060477,
1,14,1000,0.000563,
1,14,10000,0.000563,
1,14,100000,0.001258,
1,14,100000,0.001025,
1,14,10000000,0.068523,
2,14,1000,0.000382,
2,14,10000,0.000528,
2,14,100000,0.001073,
2,14,100000,0.000971,
2,14,10000000,0.065932,
3,14,1000,0.000568,
3,14,10000,0.000428,
3,14,100000,0.001106,
3,14,100000,0.001109,
3,14,10000000,0.074101,
4,14,1000,0.000401,
4,14,10000,0.000390,
4,14,100000,0.001143,
4,14,100000,0.001081,
4,14,10000000,0.070833,
5,14,1000,0.000341,
5,14,10000,0.000520,
5,14,100000,0.001070,
5,14,100000,0.001046,
5,14,10000000,0.068201,
6,14,1000,0.000381,
6,14,10000,0.000519,
6,14,100000,0.001059,
6,14,100000,0.001026,
6,14,10000000,0.068683,
7,14,1000,0.000493,
7,14,10000,0.000546,
7,14,100000,0.001078,
7,14,100000,0.001071,
7,14,10000000,0.071168,
8,14,1000,0.000602,
8,14,10000,0.000487,
8,14,100000,0.001133,
8,14,100000,0.001132,
8,14,10000000,0.067128,
9,14,1000,0.000392,
9,14,10000,0.000619,
9,14,100000,0.001125,
9,14,100000,0.001020,
9,14,10000000,0.066866,
10,14,1000,0.000553,
10,14,10000,0.000415,
10,14,100000,0.001014,
10,14,100000,0.000932,
10,14,10000000,0.068017,
