400,800,1600,3200
0.090885,0.725490,5.705742,45.762487,
0.094830,0.714331,5.707917,45.724992,
0.090885,0.717685,5.708613,45.696300,
0.093576,0.721069,5.723565,46.162623,
0.092788,0.718951,5.717039,45.743725,
0.090359,0.720408,5.742486,45.698944,
0.090524,0.719868,5.716866,45.641552,
0.089865,0.719267,5.715395,45.792688,
