400,800,1600,3200
0.094645,0.860502,8.217859,95.470753,
0.091479,0.839791,7.909882,93.101424,
0.093232,0.852178,7.911411,95.269590,
0.094088,0.867713,8.240623,94.711272,
0.095749,0.877442,8.283482,95.102911,
0.098539,0.841051,7.867096,92.616767,
0.092957,0.805517,7.256812,93.293226,
0.089970,0.798352,6.940856,93.138886,
