400,800,1600,3200
0.026777,0.275783,2.929634,77.275608,
0.026257,0.271940,2.743204,76.263324,
0.021955,0.271007,2.732638,78.621119,
0.030240,0.272737,2.922049,76.627046,
0.022265,0.276894,2.734630,76.878929,
0.026322,0.275666,2.918362,76.883741,
0.025084,0.275052,2.746500,76.703439,
0.022100,0.272828,2.909030,76.586177,
