400,800,1600,3200
0.096702,0.804530,6.633677,54.159489,
0.097591,0.769707,6.203850,53.233999,
0.096353,0.779322,6.297041,53.286494,
0.101850,0.762033,6.236362,54.573192,
0.097965,0.766720,6.304441,52.878450,
0.096585,0.772542,6.460468,51.796621,
0.095334,0.805893,6.235525,54.194755,
0.099586,0.805673,6.487043,52.878213,
