400,800,1600,3200
0.087951,0.795508,6.105968,65.113796,
0.094461,0.839326,6.240488,65.640035,
0.097981,0.825219,6.329394,65.997167,
0.099966,0.858938,6.393902,66.185436,
0.100151,0.860804,6.468049,68.554773,
0.095759,0.859772,6.571484,67.641728,
0.098232,0.863688,6.648614,67.470379,
0.100033,0.869817,6.680468,66.643185,
